track_id,start,end,closest,min_axis_km,min_penumbra_edge_km,moon_distance_at_closest_km,actual_eclipse_count,actual_eclipse_types
77,2006-03-23T00:00:00Z,2006-04-05T12:00:00Z,2006-03-29T10:15:00Z,2462.4,-961.4,360322.0,1,Total
78,2006-04-21T06:00:00Z,2006-05-05T00:00:00Z,2006-04-27T19:15:00Z,18355.3,14913.3,367641.2,0,
79,2006-05-20T12:00:00Z,2006-06-03T18:00:00Z,2006-05-27T05:00:00Z,29850.9,26377.3,377561.9,0,
80,2006-06-18T18:00:00Z,2006-07-03T12:00:00Z,2006-06-25T16:00:00Z,33858.4,30342.3,388312.9,0,
81,2006-07-18T00:00:00Z,2006-08-02T06:00:00Z,2006-07-25T05:00:00Z,28849.2,25285.3,397951.7,0,
82,2006-08-16T06:00:00Z,2006-08-31T18:00:00Z,2006-08-23T19:30:00Z,15581.8,11976.0,404477.8,0,
83,2006-09-14T12:00:00Z,2006-09-30T06:00:00Z,2006-09-22T11:45:00Z,2603.4,-1027.1,406474.5,1,Annular
84,2006-10-14T06:00:00Z,2006-10-29T18:00:00Z,2006-10-22T04:45:00Z,20234.2,16605.0,403281.0,0,
85,2006-11-12T18:00:00Z,2006-11-28T06:00:00Z,2006-11-20T22:00:00Z,31647.0,28044.9,395367.6,0,
86,2006-12-12T18:00:00Z,2006-12-27T12:00:00Z,2006-12-20T14:15:00Z,33226.5,29669.3,384462.1,0,
87,2007-01-11T18:00:00Z,2007-01-25T18:00:00Z,2007-01-19T04:30:00Z,24975.2,21469.3,373128.9,0,
88,2007-02-10T12:00:00Z,2007-02-24T06:00:00Z,2007-02-17T16:30:00Z,10077.3,6619.9,363827.2,0,
89,2007-03-12T06:00:00Z,2007-03-25T18:00:00Z,2007-03-19T02:30:00Z,6844.8,3425.9,358255.5,1,Partial
90,2007-04-11T00:00:00Z,2007-04-24T06:00:00Z,2007-04-17T11:15:00Z,21370.1,17972.8,357187.4,0,
91,2007-05-10T06:00:00Z,2007-05-23T18:00:00Z,2007-05-16T19:15:00Z,30186.9,26788.7,360613.7,0,
92,2007-06-08T12:00:00Z,2007-06-22T12:00:00Z,2007-06-15T03:30:00Z,31366.2,27942.4,367864.8,0,
93,2007-07-07T18:00:00Z,2007-07-22T06:00:00Z,2007-07-14T12:30:00Z,24417.4,20947.3,377660.3,0,
94,2007-08-06T00:00:00Z,2007-08-20T18:00:00Z,2007-08-12T23:15:00Z,10540.3,7012.2,388368.0,0,
95,2007-09-04T06:00:00Z,2007-09-19T12:00:00Z,2007-09-11T12:30:00Z,7178.8,3593.4,398078.2,1,Partial
96,2007-10-03T12:00:00Z,2007-10-19T06:00:00Z,2007-10-11T04:30:00Z,23868.3,20239.1,404748.8,0,
97,2007-11-02T00:00:00Z,2007-11-17T18:00:00Z,2007-11-09T22:45:00Z,34021.7,30371.8,406609.8,0,
98,2007-12-01T18:00:00Z,2007-12-17T06:00:00Z,2007-12-09T18:00:00Z,33771.3,30128.4,402875.9,0,
99,2007-12-31T12:00:00Z,2008-01-15T18:00:00Z,2008-01-08T12:15:00Z,23132.9,19523.9,394370.7,0,
